name,score
Gamma,99
Grace,49
Ravi,73
Beau,36
Drake,74
Cleo,81
Diana,88
Flora,17
Nina,13
Viola,24
Gage,52
Leo,37
Joel,89
Uri,94
Alma,86
Nate,74
Olivia,59
Vera,50
Mona,46
Yale,72
Aaron,74
Wyatt,32
Neil,37
Zoe,29
Stella,67
Xander,80
Finn,83
Hazel,68
Frank,25
Jade,87
Vince,76
Igor,13
Cody,12
Aria,33
Yara,78
Alice,92
Kent,23
Wendy,72
Tina,17
Kyle,12
Lily,11
Clara,13
Yuki,31
Val,40
Miles,73
Zeke,10
Ethan,86
Delia,73
Isla,21
Sara,60
Cruz,19
Gus,53
Ursa,56
Bob,32
Mira,81
Quinn,20
Beth,49
Julia,92
Bella,94
Piper,22
Owen,51
Holly,31
Blake,87
Paul,34
Suki,55
Ivy,77
Dora,54
Charlie,79
Zara,63
Ronan,59
Sam,33
Jack,52
Amir,70
Max,63
Uma,45
Hugo,57
Tara,34
Rita,89
Oscar,60
Eve,49
Gemma,26
Theo,49
Nora,41
Wade,19
Opal,50
Elsa,41
Wren,12
Fay,19
Reed,12
Petra,16
Ivan,70
Karen,32
Xena,92
Troy,17
Priya,26
Luna,77
Eli,48
Kira,84
Hank,67
Lance,96
