name,score
Jade,37
Zoe,33
Priya,31
Ronan,62
Ursa,68
Bella,57
Julia,82
Amir,43
Kent,33
Zara,16
Paul,19
Suki,38
Kyle,85
Owen,30
Wendy,83
Joel,18
Gus,68
Oscar,75
Nina,35
Lily,46
Hank,40
Alice,51
Igor,65
Tina,27
Olivia,83
Clara,69
Theo,94
Beau,94
Uri,59
Troy,55
Miles,27
Yara,39
Charlie,64
Max,19
Zeke,59
Kira,44
Aaron,12
Ivan,68
Hazel,80
Piper,80
Vera,27
Leo,57
Yuki,94
Yale,91
Lance,38
Dex,41
Holly,79
Reed,39
Uma,59
Rita,93
Ravi,76
Elsa,30
Diana,90
Wyatt,79
Gage,83
Quinn,12
Opal,69
Mona,61
Karen,33
Hugo,51
Finn,75
Neil,65
Delia,12
Sam,82
Cruz,80
Grace,35
Val,73
Wade,48
Vince,59
Gemma,19
Fay,11
Tara,26
Isla,43
Luna,79
Cody,28
Viola,40
Petra,75
Beth,74
Sara,28
Mira,33
Alma,63
Bob,95
Jack,76
Nora,83
Xander,31
Eli,44
Ethan,36
Frank,68
Nate,15
Drake,31
Blake,22
Aria,63
Stella,79
Dora,24
Wren,90
Eve,51
Flora,49
Ivy,70
Xena,24
Cleo,11
