name,score
Zara,60
Yuki,60
Tina,51
Max,32
Uma,46
Fay,55
Vince,23
Stella,58
Drake,47
Joel,19
Viola,32
Yara,29
Oscar,32
Zeke,12
Yale,17
Sara,38
Dora,44
Quinn,26
Dex,52
Ivy,26
Igor,46
Eve,20
Kent,53
Julia,10
Hugo,52
Wendy,24
Opal,29
Mira,23
Zoe,23
Alice,32
Troy,45
Bob,44
Karen,43
Cleo,22
Blake,38
Val,53
Vera,22
Delia,14
Elsa,33
Cody,54
Nora,38
Uri,17
Charlie,55
Bella,36
Ursa,25
Ronan,41
Olivia,49
Tara,39
Hank,19
Amir,47
Piper,36
Xena,49
Aaron,55
Kira,57
Frank,17
Finn,29
Flora,12
Priya,31
Owen,41
Kyle,20
Diana,44
Wyatt,27
Wren,21
Theo,13
Jade,32
Suki,16
Jack,33
Reed,22
Beau,56
Leo,19
Gage,31
Petra,41
Beth,46
Holly,43
Ravi,27
Wade,46
Hazel,21
Grace,57
Nina,11
Ivan,24
Miles,10
Sam,50
Gemma,21
Mona,51
Eli,28
Ethan,21
Nate,26
Xander,37
Rita,18
Paul,13
Cruz,18
Isla,25
Neil,29
Gus,38
Lily,21
Aria,50
Lance,36
Luna,53
Clara,30
Alma,18
