name,score
Delia,82
Wyatt,18
Wade,21
Diana,30
Vera,90
Alice,69
Paul,10
Wendy,37
Alma,23
Cody,95
Joel,47
Holly,64
Karen,66
Ronan,30
Ravi,97
Beth,27
Nina,13
Aaron,37
Frank,97
Suki,19
Xander,28
Oscar,92
Tara,56
Priya,44
Flora,61
Val,95
Uri,21
Kyle,88
Bella,48
Ivan,69
Amir,32
Gemma,62
Miles,66
Solo,100
Neil,95
Ivy,70
Finn,22
Beau,14
Elsa,62
Kent,56
Zeke,96
Zara,78
Jack,22
Jade,12
Luna,10
Piper,23
Lily,59
Opal,26
Uma,85
Rita,98
Leo,79
Owen,57
Xena,12
Troy,19
Mira,22
Mona,97
Charlie,17
Reed,57
Drake,74
Eve,69
Quinn,86
Tina,81
Max,39
Yale,47
Lance,38
Aria,19
Fay,69
Ursa,41
Wren,63
Vince,59
Zoe,69
Gage,53
Cruz,21
Hazel,91
Stella,37
Nora,21
Olivia,62
Petra,97
Gus,18
Nate,92
Dora,35
Cleo,43
Bob,81
Grace,74
Julia,27
Yara,59
Viola,29
Kira,79
Clara,71
Sam,89
Ethan,59
Sara,16
Isla,33
Blake,72
Theo,49
Igor,44
Yuki,32
Eli,84
Hugo,28
Hank,75
